,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
107,-6.285477348,-6.472438482,-0.398537748,0.392943902,7.168681292,7.154585714,-0.137089609,-0.248074154,0.098978704,0.118710562,-0.052866808,-0.114806338
108,-6.285467172,-6.479606756,-0.40093945,0.385756209,7.171052695,7.159197625,-0.19678024,-0.246008147,0.157853814,-0.001200688,0.008236392,-0.118000045
109,-6.295164282,-6.472493782,-0.398675199,0.400149697,7.18505216,7.15926153,-0.196546888,-0.184845461,0.098130703,0.058446293,0.007898353,-0.116955471
110,-6.276145886,-6.46518272,-0.396057112,0.385749849,7.194622536,7.145281278,-0.074165316,-0.123692263,0.039163118,0.177765363,0.00812325,-0.053309416
111,-6.295338018,-6.472411263,-0.396301216,0.371505574,7.203846633,7.168512905,-0.135472778,-0.063572068,0.098508466,0.357040059,0.008179821,0.011933493
112,-6.297424818,-6.482134576,-0.403489097,0.395429654,7.175661512,7.177846167,-0.071165005,-0.003442385,0.097945753,0.476642665,0.130554548,0.014574921
113,-6.304992963,-6.474863117,-0.386819543,0.400105993,7.201324835,7.154592261,-0.010324247,0.057729789,0.158046627,0.476617557,0.131174055,-0.046981986
114,-6.288018483,-6.51560989,-0.405802623,0.383320438,7.199290269,7.184664708,-0.134089298,-0.001385867,0.157761339,0.416403504,0.06956449,0.073982695
115,-6.292836869,-6.496478542,-0.401060247,0.392954501,7.196853488,7.177779625,-0.072781836,0.058753304,0.098415991,0.476334021,0.069507919,0.014022642
116,-6.297732307,-6.474963817,-0.386717224,0.409748536,7.189634625,7.166262307,-0.071398357,-0.002399893,0.157668864,0.357014951,0.130892587,-0.049623413
117,-6.280948277,-6.486933515,-0.386505173,0.388285664,7.182739422,7.187127346,-0.073015189,-0.061515549,0.158139102,0.296800898,0.069845957,0.071341267
118,-6.295376544,-6.470082359,-0.391500893,0.388248402,7.201455591,7.166232503,-0.011941079,0.000699117,0.158516865,0.177148076,0.070127425,-0.054413974
119,-6.297411003,-6.45350936,-0.393873052,0.419485989,7.15912061,7.173364705,-0.013091206,-0.123682774,0.039540882,0.118093274,0.008404718,-0.115910896
